pcompanies_id;pcompanies_logo_path;pcompanies_name;pcompanies_origin_country;imdb_id
5235.0;;Hunt Stromberg Productions;;tt0036094
42819.0;;Globomedia;ES;tt1360822
29566.0;/wHbtRtUnXGNzX0riQIpq1fcgueq.png;Atresmedia;ES;tt1360822
8531.0;;Versátil Cinema;ES;tt1360822
